"12st -- Total energy consumption by energy source, 2010Q1-2025Q2*"

"Quarter","Energy source","Quantity (TJ)","Quantity (GWh)","Share of total energy consumption (%)","Quantity, quarter-on-quarter change (%)","Quantity, year-on-year change (%)","Cumulative quantity from beginning of the year (TJ)","Cumulative quantity from beginning of the year (GWh)","Cumulative quantity from beginning of the year, year-on-year change (%)"
"2010Q1","SSS TOTAL ENERGY CONSUMPTION",433836,120510,100.0,..,..,433836,120510,..
"2010Q1","1 Renewable energy",113970,31658,26.3,..,..,113970,31658,..
"2010Q1","1.1 Hydro power",10581,2939,2.4,..,..,10581,2939,..
"2010Q1","1.2 Wind power",253,70,0.1,..,..,253,70,..
"2010Q1","1.3 Wood fuels",93900,26083,21.6,..,..,93900,26083,..
"2010Q1","1.4 Other renewable energy",9235,2565,2.1,..,..,9235,2565,..
"2010Q1","2 Fossil fuels and peat",246203,68390,56.8,..,..,246203,68390,..
"2010Q1","2.1 Oil (fossil)",90909,25252,21.0,..,..,90909,25252,..
"2010Q1","2.2 Coal",68337,18982,15.8,..,..,68337,18982,..
"2010Q1","2.3 Natural gas",50755,14099,11.7,..,..,50755,14099,..
"2010Q1","2.4 Peat",34613,9615,8.0,..,..,34613,9615,..
"2010Q1","2.5 Other fossil fuels",1589,441,0.4,..,..,1589,441,..
"2010Q1","3 Nuclear energy",64042,17790,14.8,..,..,64042,17790,..
"2010Q1","4 Net imports of electricity",7494,2082,1.7,..,..,7494,2082,..
"2010Q1","5 Others",2127,591,0.5,..,..,2127,591,..
"2010Q2","SSS TOTAL ENERGY CONSUMPTION",317157,88099,100.0,-26.9,..,750993,208609,..
"2010Q2","1 Renewable energy",94279,26189,29.7,-17.3,..,208249,57847,..
"2010Q2","1.1 Hydro power",13573,3770,4.3,28.3,..,24155,6710,..
"2010Q2","1.2 Wind power",205,57,0.1,-18.9,..,458,127,..
"2010Q2","1.3 Wood fuels",75125,20868,23.7,-20.0,..,169025,46951,..
"2010Q2","1.4 Other renewable energy",5376,1493,1.7,-41.8,..,14611,4059,..
"2010Q2","2 Fossil fuels and peat",158664,44073,50.0,-35.6,..,404867,112463,..
"2010Q2","2.1 Oil (fossil)",79231,22009,25.0,-12.9,..,170140,47261,..
"2010Q2","2.2 Coal",32587,9052,10.3,-52.3,..,100924,28034,..
"2010Q2","2.3 Natural gas",26121,7256,8.2,-48.5,..,76876,21355,..
"2010Q2","2.4 Peat",19135,5315,6.0,-44.7,..,53748,14930,..
"2010Q2","2.5 Other fossil fuels",1589,441,0.5,0.0,..,3178,883,..
"2010Q2","3 Nuclear energy",54215,15060,17.1,-15.3,..,118257,32849,..
"2010Q2","4 Net imports of electricity",7873,2187,2.5,5.1,..,15367,4269,..
"2010Q2","5 Others",2127,591,0.7,0.0,..,4253,1181,..
"2010Q3","SSS TOTAL ENERGY CONSUMPTION",304322,84534,100.0,-4.1,..,1055315,293143,..
"2010Q3","1 Renewable energy",81397,22610,26.8,-13.7,..,289646,80457,..
"2010Q3","1.1 Hydro power",10333,2870,3.4,-23.9,..,34488,9580,..
"2010Q3","1.2 Wind power",231,64,0.1,12.3,..,689,191,..
"2010Q3","1.3 Wood fuels",66159,18378,21.7,-11.9,..,235184,65329,..
"2010Q3","1.4 Other renewable energy",4674,1298,1.5,-13.0,..,19285,5357,..
"2010Q3","2 Fossil fuels and peat",150606,41835,49.5,-5.1,..,555473,154298,..
"2010Q3","2.1 Oil (fossil)",82478,22911,27.1,4.1,..,252618,70172,..
"2010Q3","2.2 Coal",26939,7483,8.9,-17.3,..,127863,35517,..
"2010Q3","2.3 Natural gas",25376,7049,8.3,-2.9,..,102252,28403,..
"2010Q3","2.4 Peat",14224,3951,4.7,-25.7,..,67972,18881,..
"2010Q3","2.5 Other fossil fuels",1589,441,0.5,0.0,..,4767,1324,..
"2010Q3","3 Nuclear energy",56565,15712,18.6,4.3,..,174822,48562,..
"2010Q3","4 Net imports of electricity",13627,3785,4.5,73.1,..,28994,8054,..
"2010Q3","5 Others",2127,591,0.7,0.0,..,6380,1772,..
"2010Q4","SSS TOTAL ENERGY CONSUMPTION",414581,115161,100.0,36.2,..,1469896,408304,..
"2010Q4","1 Renewable energy",106170,29492,25.6,30.4,..,395816,109949,..
"2010Q4","1.1 Hydro power",11387,3163,2.8,10.2,..,45875,12743,..
"2010Q4","1.2 Wind power",371,103,0.1,60.8,..,1060,294,..
"2010Q4","1.3 Wood fuels",86054,23904,20.8,30.1,..,321238,89233,..
"2010Q4","1.4 Other renewable energy",8358,2322,2.0,78.8,..,27644,7679,..
"2010Q4","2 Fossil fuels and peat",233510,64864,56.3,55.1,..,788983,219162,..
"2010Q4","2.1 Oil (fossil)",97198,26999,23.4,17.9,..,349816,97171,..
"2010Q4","2.2 Coal",58441,16234,14.1,116.9,..,186304,51751,..
"2010Q4","2.3 Natural gas",46428,12897,11.2,83.0,..,148680,41300,..
"2010Q4","2.4 Peat",29854,8293,7.2,109.9,..,97826,27174,..
"2010Q4","2.5 Other fossil fuels",1589,441,0.4,0.0,..,6357,1766,..
"2010Q4","3 Nuclear energy",63967,17769,15.4,13.1,..,238789,66330,..
"2010Q4","4 Net imports of electricity",8808,2447,2.1,-35.4,..,37802,10501,..
"2010Q4","5 Others",2127,591,0.5,0.0,..,8506,2363,..
"2011Q1","SSS TOTAL ENERGY CONSUMPTION",428152,118931,100.0,3.3,-1.3,428152,118931,-1.3
"2011Q1","1 Renewable energy",112693,31304,26.3,6.1,-1.1,112693,31304,-1.1
"2011Q1","1.1 Hydro power",9299,2583,2.2,-18.3,-12.1,9299,2583,-12.1
"2011Q1","1.2 Wind power",461,128,0.1,24.3,82.0,461,128,82.0
"2011Q1","1.3 Wood fuels",92166,25602,21.5,7.1,-1.9,92166,25602,-1.9
"2011Q1","1.4 Other renewable energy",10767,2991,2.5,28.8,16.6,10767,2991,16.6
"2011Q1","2 Fossil fuels and peat",242188,67274,56.6,3.7,-1.6,242188,67274,-1.6
"2011Q1","2.1 Oil (fossil)",85294,23693,19.9,-12.3,-6.2,85294,23693,-6.2
"2011Q1","2.2 Coal",66668,18519,15.6,14.1,-2.4,66668,18519,-2.4
"2011Q1","2.3 Natural gas",50560,14044,11.8,8.9,-0.4,50560,14044,-0.4
"2011Q1","2.4 Peat",38012,10559,8.9,27.3,9.8,38012,10559,9.8
"2011Q1","2.5 Other fossil fuels",1654,459,0.4,4.1,4.1,1654,459,4.1
"2011Q1","3 Nuclear energy",64056,17793,15.0,0.1,0.0,64056,17793,0.0
"2011Q1","4 Net imports of electricity",7256,2016,1.7,-17.6,-3.2,7256,2016,-3.2
"2011Q1","5 Others",1959,544,0.5,-7.9,-7.9,1959,544,-7.9
"2011Q2","SSS TOTAL ENERGY CONSUMPTION",317023,88062,100.0,-26.0,0.0,745175,206993,-0.8
"2011Q2","1 Renewable energy",93163,25879,29.4,-17.3,-1.2,205856,57182,-1.2
"2011Q2","1.1 Hydro power",10846,3013,3.4,16.6,-20.1,20145,5596,-16.6
"2011Q2","1.2 Wind power",368,102,0.1,-20.1,79.3,829,230,80.8
"2011Q2","1.3 Wood fuels",75173,20881,23.7,-18.4,0.1,167338,46483,-1.0
"2011Q2","1.4 Other renewable energy",6776,1882,2.1,-37.1,26.1,17544,4873,20.1
"2011Q2","2 Fossil fuels and peat",156682,43523,49.4,-35.3,-1.3,398870,110797,-1.5
"2011Q2","2.1 Oil (fossil)",78537,21816,24.8,-7.9,-0.9,163831,45509,-3.7
"2011Q2","2.2 Coal",29437,8177,9.3,-55.9,-9.7,96106,26696,-4.8
"2011Q2","2.3 Natural gas",29086,8079,9.2,-42.5,11.4,79646,22124,3.6
"2011Q2","2.4 Peat",17968,4991,5.7,-52.7,-6.1,55981,15550,4.2
"2011Q2","2.5 Other fossil fuels",1654,459,0.5,0.0,4.1,3307,919,4.1
"2011Q2","3 Nuclear energy",55144,15318,17.4,-13.9,1.7,119200,33111,0.8
"2011Q2","4 Net imports of electricity",10075,2799,3.2,38.9,28.0,17331,4814,12.8
"2011Q2","5 Others",1959,544,0.6,0.0,-7.9,3919,1088,-7.9
"2011Q3","SSS TOTAL ENERGY CONSUMPTION",294482,81801,100.0,-7.1,-3.2,1039658,288794,-1.5
"2011Q3","1 Renewable energy",85049,23625,28.9,-8.7,4.5,290905,80807,0.4
"2011Q3","1.1 Hydro power",9924,2757,3.4,-8.5,-4.0,30069,8353,-12.8
"2011Q3","1.2 Wind power",317,88,0.1,-14.0,37.3,1145,318,66.3
"2011Q3","1.3 Wood fuels",68934,19148,23.4,-8.3,4.2,236272,65631,0.5
"2011Q3","1.4 Other renewable energy",5874,1632,2.0,-13.3,25.7,23418,6505,21.4
"2011Q3","2 Fossil fuels and peat",130770,36325,44.4,-16.5,-13.2,529640,147122,-4.7
"2011Q3","2.1 Oil (fossil)",81876,22743,27.8,4.3,-0.7,245707,68252,-2.7
"2011Q3","2.2 Coal",15773,4381,5.4,-46.4,-41.5,111879,31077,-12.5
"2011Q3","2.3 Natural gas",21400,5945,7.3,-26.4,-15.7,101046,28068,-1.2
"2011Q3","2.4 Peat",10068,2797,3.4,-44.0,-29.2,66048,18347,-2.8
"2011Q3","2.5 Other fossil fuels",1654,459,0.6,0.0,4.1,4961,1378,4.1
"2011Q3","3 Nuclear energy",57685,16024,19.6,4.6,2.0,176885,49135,1.2
"2011Q3","4 Net imports of electricity",19019,5283,6.5,88.8,39.6,36350,10097,25.4
"2011Q3","5 Others",1959,544,0.7,0.0,-7.9,5878,1633,-7.9
"2011Q4","SSS TOTAL ENERGY CONSUMPTION",354438,98455,100.0,20.4,-14.5,1394096,387249,-5.2
"2011Q4","1 Renewable energy",103448,28736,29.2,21.6,-2.6,394353,109543,-0.4
"2011Q4","1.1 Hydro power",14133,3926,4.0,42.4,24.1,44202,12278,-3.7
"2011Q4","1.2 Wind power",588,163,0.2,85.6,58.6,1733,481,63.6
"2011Q4","1.3 Wood fuels",80162,22267,22.6,16.3,-6.9,316434,87898,-1.5
"2011Q4","1.4 Other renewable energy",8566,2380,2.4,45.8,2.5,31984,8885,15.7
"2011Q4","2 Fossil fuels and peat",169506,47085,47.8,29.6,-27.4,699146,194207,-11.4
"2011Q4","2.1 Oil (fossil)",85970,23881,24.3,5.0,-11.6,331677,92132,-5.2
"2011Q4","2.2 Coal",33305,9251,9.4,111.2,-43.0,145183,40329,-22.1
"2011Q4","2.3 Natural gas",28986,8052,8.2,35.5,-37.6,130032,36120,-12.5
"2011Q4","2.4 Peat",19591,5442,5.5,94.6,-34.4,85640,23789,-12.5
"2011Q4","2.5 Other fossil fuels",1654,459,0.5,0.0,4.1,6614,1837,4.1
"2011Q4","3 Nuclear energy",66011,18337,18.6,14.4,3.2,242897,67471,1.7
"2011Q4","4 Net imports of electricity",13513,3754,3.8,-29.0,53.4,49863,13851,31.9
"2011Q4","5 Others",1959,544,0.6,0.0,-7.9,7837,2177,-7.9
"2012Q1","SSS TOTAL ENERGY CONSUMPTION",403085,111968,100.0,13.7,-5.9,403085,111968,-5.9
"2012Q1","1 Renewable energy",120609,33503,29.9,16.6,7.0,120609,33503,7.0
"2012Q1","1.1 Hydro power",13429,3730,3.3,-5.0,44.4,13429,3730,44.4
"2012Q1","1.2 Wind power",484,135,0.1,-17.6,5.1,484,135,5.1
"2012Q1","1.3 Wood fuels",94067,26130,23.3,17.4,2.1,94067,26130,2.1
"2012Q1","1.4 Other renewable energy",12629,3508,3.1,47.4,17.3,12629,3508,17.3
"2012Q1","2 Fossil fuels and peat",197913,54976,49.1,16.8,-18.3,197913,54976,-18.3
"2012Q1","2.1 Oil (fossil)",83085,23079,20.6,-3.4,-2.6,83085,23079,-2.6
"2012Q1","2.2 Coal",43324,12034,10.8,30.1,-35.0,43324,12034,-35.0
"2012Q1","2.3 Natural gas",39873,11076,9.9,37.6,-21.1,39873,11076,-21.1
"2012Q1","2.4 Peat",29587,8219,7.3,51.0,-22.2,29587,8219,-22.2
"2012Q1","2.5 Other fossil fuels",2044,568,0.5,23.6,23.6,2044,568,23.6
"2012Q1","3 Nuclear energy",65746,18263,16.3,-0.4,2.6,65746,18263,2.6
"2012Q1","4 Net imports of electricity",16913,4698,4.2,25.2,133.1,16913,4698,133.1
"2012Q1","5 Others",1903,529,0.5,-2.9,-2.9,1903,529,-2.9
"2012Q2","SSS TOTAL ENERGY CONSUMPTION",306944,85262,100.0,-23.9,-3.2,710029,197230,-4.7
"2012Q2","1 Renewable energy",98899,27472,32.2,-18.0,6.2,219508,60974,6.6
"2012Q2","1.1 Hydro power",15480,4300,5.0,15.3,42.7,28909,8030,43.5
"2012Q2","1.2 Wind power",401,111,0.1,-17.2,9.0,885,246,6.8
"2012Q2","1.3 Wood fuels",75404,20946,24.6,-19.8,0.3,169471,47075,1.3
"2012Q2","1.4 Other renewable energy",7614,2115,2.5,-39.7,12.4,20243,5623,15.4
"2012Q2","2 Fossil fuels and peat",137166,38102,44.7,-30.7,-12.5,335079,93078,-16.0
"2012Q2","2.1 Oil (fossil)",74963,20823,24.4,-9.8,-4.6,158048,43902,-3.5
"2012Q2","2.2 Coal",23067,6407,7.5,-46.8,-21.6,66391,18442,-30.9
"2012Q2","2.3 Natural gas",21821,6061,7.1,-45.3,-25.0,61694,17137,-22.5
"2012Q2","2.4 Peat",15271,4242,5.0,-48.4,-15.0,44859,12461,-19.9
"2012Q2","2.5 Other fossil fuels",2044,568,0.7,0.0,23.6,4087,1135,23.6
"2012Q2","3 Nuclear energy",55037,15288,17.9,-16.3,-0.2,120783,33551,1.3
"2012Q2","4 Net imports of electricity",13939,3872,4.5,-17.6,38.4,30852,8570,78.0
"2012Q2","5 Others",1903,529,0.6,0.0,-2.9,3807,1057,-2.9
"2012Q3","SSS TOTAL ENERGY CONSUMPTION",294194,81721,100.0,-4.2,-0.1,1004223,278951,-3.4
"2012Q3","1 Renewable energy",93064,25851,31.6,-5.9,9.4,312572,86826,7.5
"2012Q3","1.1 Hydro power",14770,4103,5.0,-4.6,48.8,43679,12133,45.3
"2012Q3","1.2 Wind power",377,105,0.1,-6.0,19.1,1262,351,10.2
"2012Q3","1.3 Wood fuels",71763,19934,24.4,-4.8,4.1,241234,67009,2.1
"2012Q3","1.4 Other renewable energy",6154,1709,2.1,-19.2,4.8,26397,7332,12.7
"2012Q3","2 Fossil fuels and peat",126410,35114,43.0,-7.8,-3.3,461489,128191,-12.9
"2012Q3","2.1 Oil (fossil)",79418,22061,27.0,5.9,-3.0,237466,65963,-3.4
"2012Q3","2.2 Coal",16781,4661,5.7,-27.3,6.4,83171,23103,-25.7
"2012Q3","2.3 Natural gas",19887,5524,6.8,-8.9,-7.1,81581,22661,-19.3
"2012Q3","2.4 Peat",8280,2300,2.8,-45.8,-17.8,53139,14761,-19.6
"2012Q3","2.5 Other fossil fuels",2044,568,0.7,0.0,23.6,6131,1703,23.6
"2012Q3","3 Nuclear energy",56189,15608,19.1,2.1,-2.6,176972,49159,0.1
"2012Q3","4 Net imports of electricity",16628,4619,5.7,19.3,-12.6,47480,13189,30.6
"2012Q3","5 Others",1903,529,0.7,0.0,-2.9,5710,1586,-2.9
"2012Q4","SSS TOTAL ENERGY CONSUMPTION",371368,103158,100.0,26.2,4.8,1375591,382109,-1.3
"2012Q4","1 Renewable energy",117385,32607,31.6,26.1,13.5,429957,119432,9.0
"2012Q4","1.1 Hydro power",16322,4534,4.4,10.5,15.5,60001,16667,35.7
"2012Q4","1.2 Wind power",517,144,0.1,37.1,-12.0,1780,494,2.7
"2012Q4","1.3 Wood fuels",89315,24810,24.1,24.5,11.4,330549,91819,4.5
"2012Q4","1.4 Other renewable energy",11230,3119,3.0,82.5,31.1,37627,10452,17.6
"2012Q4","2 Fossil fuels and peat",173051,48070,46.6,36.9,2.1,634540,176261,-9.2
"2012Q4","2.1 Oil (fossil)",84908,23586,22.9,6.9,-1.2,322374,89548,-2.8
"2012Q4","2.2 Coal",39480,10967,10.6,135.3,18.5,122651,34070,-15.5
"2012Q4","2.3 Natural gas",33404,9279,9.0,68.0,15.2,114985,31940,-11.6
"2012Q4","2.4 Peat",13216,3671,3.6,59.6,-32.5,66355,18432,-22.5
"2012Q4","2.5 Other fossil fuels",2044,568,0.6,0.0,23.6,8175,2271,23.6
"2012Q4","3 Nuclear energy",63713,17698,17.2,13.4,-3.5,240685,66857,-0.9
"2012Q4","4 Net imports of electricity",15315,4254,4.1,-7.9,13.3,62796,17443,25.9
"2012Q4","5 Others",1903,529,0.5,0.0,-2.9,7614,2115,-2.9
"2013Q1","SSS TOTAL ENERGY CONSUMPTION",403982,112217,100.0,8.8,0.2,403982,112217,0.2
"2013Q1","1 Renewable energy",128523,35701,31.8,9.5,6.6,128523,35701,6.6
"2013Q1","1.1 Hydro power",13871,3853,3.4,-15.0,3.3,13871,3853,3.3
"2013Q1","1.2 Wind power",553,153,0.1,6.8,14.1,553,153,14.1
"2013Q1","1.3 Wood fuels",99463,27629,24.6,11.4,5.7,99463,27629,5.7
"2013Q1","1.4 Other renewable energy",14637,4066,3.6,30.3,15.9,14637,4066,15.9
"2013Q1","2 Fossil fuels and peat",195209,54225,48.3,12.8,-1.4,195209,54225,-1.4
"2013Q1","2.1 Oil (fossil)",78905,21918,19.5,-7.1,-5.0,78905,21918,-5.0
"2013Q1","2.2 Coal",53842,14956,13.3,36.4,24.3,53842,14956,24.3
"2013Q1","2.3 Natural gas",37917,10533,9.4,13.5,-4.9,37917,10533,-4.9
"2013Q1","2.4 Peat",22066,6129,5.5,67.0,-25.4,22066,6129,-25.4
"2013Q1","2.5 Other fossil fuels",2479,689,0.6,21.3,21.3,2479,689,21.3
"2013Q1","3 Nuclear energy",64994,18054,16.1,2.0,-1.1,64994,18054,-1.1
"2013Q1","4 Net imports of electricity",13179,3661,3.3,-14.0,-22.1,13179,3661,-22.1
"2013Q1","5 Others",2077,577,0.5,9.1,9.1,2077,577,9.1
"2013Q2","SSS TOTAL ENERGY CONSUMPTION",313629,87119,100.0,-22.4,2.2,717611,199336,1.1
"2013Q2","1 Renewable energy",101338,28149,32.3,-21.2,2.5,229861,63850,4.7
"2013Q2","1.1 Hydro power",13009,3614,4.2,-6.2,-16.0,26879,7467,-7.0
"2013Q2","1.2 Wind power",519,144,0.2,-6.0,29.4,1072,298,21.1
"2013Q2","1.3 Wood fuels",79337,22038,25.3,-20.2,5.2,178800,49667,5.5
"2013Q2","1.4 Other renewable energy",8473,2354,2.7,-42.1,11.3,23110,6419,14.2
"2013Q2","2 Fossil fuels and peat",139779,38828,44.6,-28.4,1.9,334989,93052,0.0
"2013Q2","2.1 Oil (fossil)",75252,20903,24.0,-4.6,0.4,154157,42821,-2.5
"2013Q2","2.2 Coal",29899,8305,9.5,-44.5,29.6,83740,23261,26.1
"2013Q2","2.3 Natural gas",21198,5888,6.8,-44.1,-2.9,59115,16421,-4.2
"2013Q2","2.4 Peat",10951,3042,3.5,-50.4,-28.3,33017,9171,-26.4
"2013Q2","2.5 Other fossil fuels",2479,689,0.8,0.0,21.3,4959,1377,21.3
"2013Q2","3 Nuclear energy",59184,16440,18.9,-8.9,7.5,124178,34494,2.8
"2013Q2","4 Net imports of electricity",11251,3125,3.6,-14.6,-19.3,24430,6786,-20.8
"2013Q2","5 Others",2077,577,0.7,0.0,9.1,4154,1154,9.1
"2013Q3","SSS TOTAL ENERGY CONSUMPTION",301207,83669,100.0,-4.0,2.4,1018819,283005,1.5
"2013Q3","1 Renewable energy",89942,24984,29.9,-11.3,-3.4,319803,88834,2.3
"2013Q3","1.1 Hydro power",9172,2548,3.1,-29.5,-37.9,36051,10014,-17.5
"2013Q3","1.2 Wind power",575,160,0.2,10.7,52.4,1647,457,30.4
"2013Q3","1.3 Wood fuels",73343,20373,24.4,-7.6,2.2,252143,70040,4.5
"2013Q3","1.4 Other renewable energy",6852,1903,2.3,-19.1,11.4,29962,8323,13.5
"2013Q3","2 Fossil fuels and peat",134162,37267,44.5,-4.0,6.1,469150,130320,1.7
"2013Q3","2.1 Oil (fossil)",77941,21650,25.9,3.6,-1.9,232098,64472,-2.3
"2013Q3","2.2 Coal",27354,7598,9.1,-8.5,63.0,111094,30859,33.6
"2013Q3","2.3 Natural gas",18698,5194,6.2,-11.8,-6.0,77813,21615,-4.6
"2013Q3","2.4 Peat",7690,2136,2.6,-29.8,-7.1,40707,11307,-23.4
"2013Q3","2.5 Other fossil fuels",2479,689,0.8,0.0,21.3,7438,2066,21.3
"2013Q3","3 Nuclear energy",58123,16145,19.3,-1.8,3.4,182302,50639,3.0
"2013Q3","4 Net imports of electricity",16903,4695,5.6,50.2,1.7,41332,11481,-13.0
"2013Q3","5 Others",2077,577,0.7,0.0,9.1,6231,1731,9.1
"2013Q4","SSS TOTAL ENERGY CONSUMPTION",356925,99146,100.0,18.5,-3.9,1375743,382151,0.0
"2013Q4","1 Renewable energy",108613,30170,30.4,20.8,-7.5,428416,119004,-0.4
"2013Q4","1.1 Hydro power",9569,2658,2.7,4.3,-41.4,45621,12672,-24.0
"2013Q4","1.2 Wind power",1139,316,0.3,98.1,120.2,2785,774,56.5
"2013Q4","1.3 Wood fuels",86330,23980,24.2,17.7,-3.3,338473,94020,2.4
"2013Q4","1.4 Other renewable energy",11576,3215,3.2,68.9,3.1,41537,11538,10.4
